Ranking (1) Tamaño  2021,Ranking (1) Tamaño 2020,Variación Ranking Tamaño 2020 - 2021,Nombre Grupo Económico,"Reporta sus BENEFICIARIOS EFECTIVOS 
(*)",No. de Integrantes domiciliados en PARAÍSOS FISCALES (**),No. de Integrantes y Empresas Offshore relacionadas con el Grupo Económico publicados en PANAMÁ PAPERS (***),"Personas 
Naturales (a)    ","Personas 
Extranjeras (b)    ","Sociedades 
Nacionales (c)","Sociedades 
Extranjeras (d)","Contribuyentes
 Especiales","Grandes 
Contribuyentes e 
Importancia 
Recaudatoria","Instituciones 
Financieras (2)","Medios de 
Comunicación (3)",Total Integrantes e=a+b+c+d,Ranking Contribución I.R. 2020,Ranking Contribución I.R. 2019,"Variación Ranking Contribución I.R. 
2019-2020",Impuesto a la Renta Causado (4) 2020,Total Ingresos 2020,Contribución   I.R. 2020,Impuesto a la Renta Causado (4) 2019,Total Ingresos 2019,Contribución   I.R. 2019,Variación Ingresos,Variación Impuesto a la Renta Causado,Variación Contribución  I.R. (2020-2019),Impuesto Causado ISD 2020,Impuesto Causado ISD 2019,Impuesto Causado IAE 2020 (5),Impuesto Causado IAE 2019 (5),"Total Activo 
(6) 2020","Total Activo 
(6) 2019",Total Patrimonio (7) 2020,"Total Patrimonio 
(7) 2019","
Total Recaudado (8) 2020","
Total Recaudado (8) 2019"
184,177,-7,"EQUITESA (ECUATORIANA DE CONSTRUCCIONES, MULTIQUIP, AGRIMANANTIAL, FUNDICONSA)",SI,0,0,2,0,21,0,5,0,,,23,242,179,-63,"146,478","34,844,885",0.42%,"768,380","56,478,412",1.36%,-38.30%,-80.94%,-0.94%,"155,205",476,0,0,"138,178,665","140,950,824","61,103,973","63,621,067","925,867","1,887,993"
185,207,22,"DITECA ( FIDEICOMISO DE GARANTIA DITECA, LETRUST)",SI,0,0,1,0,10,0,1,1,,,11,46,103,57,"1,320,584","43,978,147",3.00%,"849,421","37,223,129",2.28%,18.15%,55.47%,0.72%,"1,980,768","13,783",0,0,"117,852,326","108,721,579","74,115,296","70,191,657","1,586,787","2,344,161"
186,198,12,"CONSTRUCTORA VILLACRECES ANDRADE (ELITENERGY GENERACION ELECTRICA, COMPANIA AGROINMOBILIARIA ADELPHOS)",SI,0,0,2,0,23,0,2,0,,,25,169,198,29,"262,179","30,395,083",0.86%,"374,372","31,419,595",1.19%,-3.26%,-29.97%,-0.33%,"38,556","2,616",0,0,"163,958,168","163,680,964","34,307,877","31,971,827","1,548,510","662,674"
187,201,14,"CONDUTO ECUADOR (CONSORCIO DEL AUSTRO CP, HIDROSIERRA, CONDUTO HOLDING, ABC HOLDING, HIDROPILALO, BUILDEQUA, INMOBILIARIA BAVARIA, MAHESA)",SI,0,13,6,1,26,2,3,1,,,33,233,256,23,"152,723","31,285,009",0.49%,"189,882","28,234,711",0.67%,10.80%,-19.57%,-0.18%,"152,317",496,0,0,"155,114,458","136,241,847","54,408,408","51,998,833","881,587","1,649,840"
188,214,26,"ASEGURADORA DEL SUR (EDINA, SETEC, TECNOMURO, INMOKOMMERCE, AUTOPIEZAS)",SI,0,2,6,0,18,0,1,1,2,,24,237,159,-78,"389,627","85,496,364",0.46%,"1,217,561","77,040,488",1.58%,10.98%,-68.00%,-1.12%,"990,214","268,224",382,"1,057","70,823,560","59,860,120","27,217,330","22,809,907","8,115,155","7,909,744"
189,183,-6,"EMPACADORA DEL PACIFICO (GRUPACIF, DISQUESA, ACUANORTE)",SI,0,0,6,0,12,0,2,1,,,18,207,157,-50,"625,466","97,420,948",0.64%,"1,964,717","120,111,172",1.64%,-18.89%,-68.17%,-0.99%,"239,882","110,056",0,0,"57,749,962","53,103,384","14,673,895","15,660,959","2,365,064","2,920,130"
190,197,7,"DISTRISODA ( ISCA ISLA CAMARONERA, CYBERNIUS, AGLIPESCA)",SI,0,0,2,0,18,0,10,0,,,20,88,24,-64,"1,436,003","73,895,330",1.94%,"5,935,026","100,135,904",5.93%,-26.20%,-75.80%,-3.98%,"32,618","2,667",0,0,"79,570,553","68,773,766","30,059,469","17,076,223","1,465,631","1,763,756"
191,206,15,"GRUPO DEGFER (INMOBILIARIA INMODEGFER, AGRODEGFER, MANABITA DE REPUESTOS MANARECO, RESTAURANTES LOUNGE CASAROSADA, TURISMO SOLOSOL)",SI,0,0,4,0,21,0,0,0,,,25,255,149,-106,"90,344","30,597,517",0.30%,"515,375","30,550,986",1.69%,0.15%,-82.47%,-1.39%,"97,510","9,384",0,0,"123,474,934","118,879,628","64,019,084","64,728,162","965,967","1,484,363"
192,205,13,"SIMED ( CORPORACIÓN OMNI INVEST OMNINVEST, MOTINGA, INMOLIBERTY)",SI,0,0,1,0,7,1,1,1,,,8,26,44,18,"2,146,985","55,578,978",3.86%,"2,641,060","60,948,398",4.33%,-8.81%,-18.71%,-0.47%,"2,791,636","46,821",0,0,"96,641,653","94,548,529","57,970,456","52,533,896","3,582,121","2,907,686"
193,219,26,"HOSPITAL ALCIVAR (TAYANA, ANGIOTEC, LABORATORIO ALCIVAR, ANELFA, DIALCIVAR, VITALPLAN)",PARCIALMENTE,0,0,4,0,29,1,2,0,,,33,97,195,98,"1,449,551","82,172,192",1.76%,"868,432","71,723,482",1.21%,14.57%,66.92%,0.55%,"174,142","3,918",0,0,"72,062,673","66,122,194","16,347,961","14,971,024","3,421,714","2,559,110"
194,218,24,LINDE ECUADOR (AGUA Y GAS DE SILLUNCHI),NO,0,0,0,0,2,5,1,1,,,2,216,219,3,"331,961","56,752,742",0.58%,"461,536","45,380,830",1.02%,25.06%,-28.07%,-0.43%,"682,352","17,334",0,0,"84,231,258","76,710,721","64,858,501","59,873,361","2,876,567","3,162,637"
195,203,8,"CONSORCIO DEL PICHINCHA (FIDEICOMISO EN GARANTIA VEHICULOS CONDELPI, ELIANA HOLDING, SINVES)",SI,0,0,1,0,10,0,1,1,,,11,12,27,15,"2,693,156","45,089,660",5.97%,"2,772,637","49,111,141",5.65%,-8.19%,-2.87%,0.33%,"13,145",111,"3,865","2,756","97,371,511","100,975,155","78,014,543","73,865,966","6,769,457","5,898,374"
196,182,-14,"CONSTRUCTORA CIUDADRODRIGO (COMPAÑIA DE TRANSPORTE DE CARGA PESADA TRANSVELEZ, ESTACION DE SERVICIOS CIUDAD RODRIGO, DISVECA, CONSORCIO MONTECRISTI)",SI,0,0,4,0,19,0,7,1,,,23,234,204,-30,"265,185","54,785,209",0.48%,"922,169","80,960,295",1.14%,-32.33%,-71.24%,-0.65%,"34,934","2,452",0,0,"92,209,187","101,475,190","40,844,924","40,730,447","1,618,531","2,385,743"
197,179,-18,"ALVARADO ORTIZ CONSTRUCTORA (IMPORTADORA ALVARADO VASCONEZ, ALVARADO-ORTIZ CONSTRUCTORES, CORPAL, RECTIMAINDUSTRY, MAXCO)",PARCIALMENTE,0,0,7,0,33,1,6,0,,,40,72,94,22,"1,426,137","61,788,340",2.31%,"2,347,047","96,135,164",2.44%,-35.73%,-39.24%,-0.13%,"2,562,640","75,745",0,0,"81,341,262","82,768,559","35,615,737","34,958,152","3,156,903","4,136,320"
198,162,-36,"MARZAM (AUTOMOTORES MANABITAS, NAVIERA MARNIZAM, MARDCOMSA, NEGOCORP)",SI,0,0,7,0,16,0,2,1,,,23,201,236,35,"275,444","40,714,105",0.68%,"921,665","113,396,073",0.81%,-64.10%,-70.11%,-0.14%,"37,302","3,828",0,0,"101,886,371","102,591,357","53,662,933","55,673,221","754,525","1,330,034"
199,190,-9,"SINOHYDRO CORPORATION LIMITED (CONSORCIO NHG,  CONSORCIO HOSPITAL MACHALA)",NO,0,0,0,0,5,2,4,3,,,5,291,145,-146,0,"14,288,684",0.00%,"542,767","31,456,333",1.73%,-54.58%,-100.00%,-1.73%,"326,697","2,546",0,0,"155,285,248","157,382,747","26,776,307","44,017,808","1,380,158","4,631,035"
200,216,16,"SEGUROS CONFIANZA (FIDEICOMISO MERCANTIL DE ADMINISTRACION DE DOCUMENTOS COMERCIALES SEGUROS CONFIANZA, FIDEICOMISO CONFIANZA, CONSORCIO SOLMEDIC HTMC)",SI,0,2,2,0,7,0,1,1,1,,9,126,172,46,"879,539","63,692,897",1.38%,"925,262","65,841,423",1.41%,-3.26%,-4.94%,-0.02%,"598,723",0,"278,954","285,926","85,615,400","75,241,470","26,064,042","24,376,408","5,663,060","5,331,086"
201,188,-13,C.W.E ECUADOR ( CHINA INTERNATIONAL WATER & ELECTRIC CORP),SI,0,0,0,1,1,0,1,1,,,2,292,49,-243,0,"2,889,343",0.00%,"1,217,433","28,975,732",4.20%,-90.03%,-100.00%,-4.20%,"272,769",0,0,0,"131,327,816","143,832,835","99,911,972","103,988,757","439,379","2,821,586"
202,180,-22,"ECUAVISA (ECUAVISA, ECUNIVI, ENSA, FIDEICOMISO ACCIONES UNIVISA, BONUDIEM)",SI,0,0,10,0,21,0,4,1,,8,31,214,91,-123,"298,085","50,236,081",0.59%,"1,628,904","65,473,775",2.49%,-23.27%,-81.70%,-1.89%,"683,366","4,916",0,0,"83,619,945","115,517,608","39,915,240","66,470,919","6,975,234","10,472,680"
203,225,22,"NEXSYS DEL ECUADOR (ITERAPROCESS CONSULTING, IT ERA SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE)",SI,0,0,0,7,3,3,1,1,,,10,218,287,69,"486,289","83,895,151",0.58%,"222,075","76,740,739",0.29%,9.32%,118.98%,0.29%,"4,449,110","613,172",0,0,"52,343,807","47,318,655","17,839,412","7,373,722","12,743,130","14,039,134"
204,222,18,"PROPEMAR (TUNAQUICK, DIVA, ACUICOLASMANABITAS)",SI,0,0,2,0,4,0,1,1,,,6,270,294,24,"83,464","79,351,970",0.11%,"135,432","75,866,071",0.18%,4.59%,-38.37%,-0.07%,"21,251",13,0,0,"61,816,761","54,536,341","10,558,436","10,456,151","725,677","855,846"
205,200,-5,"DIGITAL PHOTO EXPRESS (AGROEDEN, CONCEM, MALPASO, LA FLORESTA, KIONA, TRANSCONCEM)",PARCIALMENTE,0,0,5,0,51,0,4,0,,,56,79,118,39,"822,922","38,264,033",2.15%,"992,862","48,582,626",2.04%,-21.24%,-17.12%,0.11%,"64,060","4,931",0,0,"106,951,980","108,740,887","47,178,978","59,731,787","1,244,159","3,023,194"
206,211,5,"CRIDESA (DISTRIBUIDORA ECUATORIANA, INMOBILIARIA GEMINIS)",PARCIALMENTE,1,0,2,0,4,8,1,1,,,6,18,18,0,"2,719,488","54,034,204",5.03%,"4,016,853","60,813,519",6.61%,-11.15%,-32.30%,-1.57%,"1,132,007","71,527",0,0,"77,655,677","76,745,328","56,487,077","52,705,281","6,286,321","6,418,680"
207,212,5,"KRAFT FOODS (MONDELEZ ECUADOR, KRAFT FOODS INTERNATIONAL)",NO,0,0,0,0,1,12,1,1,,,1,5,8,3,"7,082,525","89,448,199",7.92%,"7,435,945","98,149,838",7.58%,-8.87%,-4.75%,0.34%,"3,308,303",132,0,0,"51,313,513","48,433,630","20,581,223","13,612,770","18,979,053","16,231,829"
208,209,1,"CHINA ROAD AND BRIDGE (CRBC SEMAICA YACHAY, CRBCQVIA)",NO,0,0,0,0,6,7,2,0,,,6,75,137,62,"444,475","20,249,155",2.20%,"527,343","28,922,697",1.82%,-29.99%,-15.71%,0.37%,"47,640","4,023",0,0,"154,060,860","155,916,295","6,171,906","12,703,166","1,026,236","843,477"
209,194,-15,"AUTOMOTORES LATINOAMERICANOS AUTOLASA (GALMACK, GALARZA-MACKAY COMPANY, SOLUGLOBAL)",SI,0,2,7,0,23,0,2,1,,,30,232,250,18,"285,024","57,690,000",0.49%,"533,640","75,319,009",0.71%,-23.41%,-46.59%,-0.21%,"475,584",0,0,0,"72,398,274","86,995,696","34,300,197","37,073,035","1,372,302","2,797,113"
210,196,-14,"CORPORACIÓN DE PROMOCIÓN UNIVERSITARIA (FIDEICOMISO PASEO SAN FRANCISCO, SIMEUSFQ)",SI,0,0,0,0,14,0,3,0,,,14,293,144,,0,"19,043,832",0.00%,"613,590","34,907,359",1.76%,-45.44%,-100.00%,-1.76%,"66,560","121,098",0,0,"104,032,372","114,978,543","72,463,881","81,575,876","827,678","1,186,785"
211,220,9,"MOTRANSA (MOSUMI, ASPANAM, VÍA EXPRESS, COMLOGIC, DAIRYOP)",SI,1,2,0,1,9,2,2,0,,,10,226,267,41,"330,571","61,612,954",0.54%,"313,263","57,902,218",0.54%,6.41%,5.53%,0.00%,"3,182,537",344,0,0,"63,138,003","69,107,143","43,021,837","40,885,885","1,324,359","1,966,489"
212,208,-4,"METALKING (RECIPLASTICOS, INBRAVE, PROCEPLAS, FIBRANAC)",SI,0,0,2,0,10,0,4,0,,,12,190,241,51,"463,037","63,451,336",0.73%,"602,250","79,982,283",0.75%,-20.67%,-23.12%,-0.02%,"105,561","36,270",0,0,"58,251,882","56,026,776","39,149,513","36,323,564","1,700,055","2,019,451"
213,210,-3,"TATASOLUTION CENTER (MAINT, PINTOSA, BRAINSERVICES, FLEXUS)",PARCIALMENTE,0,0,2,0,8,6,2,1,,,10,48,193,145,"2,659,374","89,036,302",2.99%,"1,202,289","97,963,720",1.23%,-9.11%,121.19%,1.76%,"1,370,760","67,668",0,0,"39,900,255","39,774,940","13,591,512","9,943,648","10,507,377","9,710,403"
214,202,-12,"COLINEAL (CARPINTERÍA Y TAPICERÍA INTERNACIONAL, COMCANA, BEST INTERNATIONAL ECUADOR, ALDANA SILLAS Y SILLAS, LVXO, HERITAGE)",SI,0,0,6,0,12,0,2,1,,,18,141,130,-11,"584,439","48,446,325",1.21%,"1,248,153","66,083,543",1.89%,-26.69%,-53.18%,-0.68%,"652,153","70,500",0,0,"83,153,933","85,418,215","40,546,662","40,420,587","3,054,805","3,148,471"
215,204,-11,"INVERNEG (ECONOMI, BOCCASSO)",SI,0,0,1,0,3,0,2,1,,,4,61,70,9,"1,687,542","63,646,559",2.65%,"2,710,097","82,782,634",3.27%,-23.12%,-37.73%,-0.62%,"3,540,991","2,610",0,0,"62,579,858","61,979,658","35,295,245","34,140,273","3,176,675","3,882,006"
216,193,-23,"IMPOCOMJAHER (INMOTERRANOVA, METSUR, IMPORAUSTROKREY, METATEK)",SI,0,0,3,0,8,0,1,1,,,11,268,226,-42,"65,541","47,224,637",0.14%,"732,053","77,851,462",0.94%,-39.34%,-91.05%,-0.80%,"220,955",0,0,0,"81,838,178","93,828,284","24,878,169","28,761,142","2,755,542","6,043,405"
217,232,15,"PROMAORO (SOLCAPITAL, IPYCA EXPOCAMARON, PROCOSUR)",SI,0,0,1,0,5,0,1,0,,,6,282,292,10,"12,436","90,123,002",0.01%,"161,835","83,673,297",0.19%,7.71%,-92.32%,-0.18%,"43,377",0,0,0,"23,783,951","23,330,339","7,971,620","7,618,123","1,700,140","1,320,247"
218,227,9,"MINERA BELORO (CORMIREY, MINESADCO, COMPAÑÍA SUPERMAG, IMPORTADORA Y EXPORTADORA VILCAGREEN, AURIFERA PODEROSA)",SI,0,0,3,1,34,0,4,0,,,38,42,123,81,"1,006,629","32,928,037",3.06%,"583,174","29,413,850",1.98%,11.95%,72.61%,1.07%,"32,246",0,0,0,"92,331,629","97,718,424","42,268,800","40,311,603","2,276,295","1,762,852"
219,134,-85,"DELCORP (ECUAGRAN, STOREOCEAN, SEPYMAN)",SI,0,0,2,0,25,0,3,2,,,27,184,270,86,"123,191","15,740,961",0.78%,"463,904","90,081,240",0.51%,-82.53%,-73.44%,0.27%,"1,515,192","49,941",0,0,"102,688,494","203,513,636","50,904,651","104,634,824","610,425","1,391,834"
220,228,8,"IMPORTADORA LARTIZCO (AUTOMOTORES ELCAMER, OVIPLAX, AUTOMOTORES TRINITY, LITOREY)",PARCIALMENTE,0,0,4,0,20,4,2,0,,,24,200,251,51,"281,095","41,242,811",0.68%,"333,902","47,260,427",0.71%,-12.73%,-15.82%,-0.02%,"1,329,450","119,624",0,0,"81,895,176","75,872,709","30,382,051","28,449,548","1,240,556","1,289,002"
221,242,21,"TRIBOILGAS (CONEXPET, ALMATRANSCOMER, CONSHORAMA, TURCONAGRO)",SI,0,0,2,0,7,0,2,0,,,9,186,104,-82,"279,303","36,597,495",0.76%,"970,586","42,580,516",2.28%,-14.05%,-71.22%,-1.52%,"441,889",0,0,0,"86,988,695","56,160,647","26,274,731","30,871,318","1,330,827","2,717,419"
222,234,12,"UNIVERSIDAD INTERNACIONAL DEL ECUADOR (UIDESERV, ISANPLU, INMOBILIARIA B.D.M.)",SI,3,9,3,0,14,3,1,0,,,17,136,151,15,"436,940","35,182,531",1.24%,"523,968","31,177,888",1.68%,12.84%,-16.61%,-0.44%,"165,588","1,292",0,0,"81,059,855","78,593,251","45,564,103","44,641,592","1,333,234","1,116,660"
223,224,1,"DIPASO (INCFAR, ASPANAM, IMPORTADORA SHING'S TRADING)",SI,0,0,2,0,4,0,3,1,,,6,19,46,27,"1,994,349","44,557,488",4.48%,"2,512,837","59,158,282",4.25%,-24.68%,-20.63%,0.23%,"71,848",0,0,0,"73,810,109","65,711,882","39,217,867","33,842,487","4,831,997","6,741,173"
224,199,-25,GRUPO TRANSBEL (L'BEL PARIS),SI,4,3,0,1,1,5,1,1,,,2,159,122,-37,"755,799","75,404,413",1.00%,"2,333,756","117,672,668",1.98%,-35.92%,-67.61%,-0.98%,"4,342,672",0,0,0,"36,299,490","36,406,923","7,545,054","8,603,909","12,673,441","18,378,668"
225,231,6,MAPFRE ATLAS COMPAÑÍA DE SEGUROS (ECUASISTENCIA),SI,0,0,0,2,2,11,2,1,1,,4,209,233,24,"282,932","44,603,049",0.63%,"495,114","55,316,487",0.90%,-19.37%,-42.86%,-0.26%,"1,877,316","288,920","2,739","3,002","79,855,554","66,416,288","15,510,204","18,796,937","9,742,136","10,215,958"
226,221,-5,INCABLE ( NOGUEIRA FERNANDES ODUVALDO),SI,0,0,1,0,1,0,1,1,,,2,150,207,57,"459,450","41,802,069",1.10%,"580,471","52,264,699",1.11%,-20.02%,-20.85%,-0.01%,"2,330,458","200,260",0,0,"67,390,037","71,765,760","35,081,964","35,327,655","770,514","1,347,834"
227,262,35,"WORLDWIDE INVESTMENTS AND REPRESENTATIONS WINREP( PARADISEA, MARFRAGATA)",SI,0,0,3,0,11,0,1,0,,,14,246,278,32,"263,521","66,128,463",0.40%,"254,497","57,696,428",0.44%,14.61%,3.55%,-0.04%,"8,767",267,0,0,"42,944,100","12,907,599","18,522,851","3,218,819","441,934","792,077"
228,230,2,"BUENO Y CASTRO INGENIEROS ASOCIADOS (RHR ROCK & HYDRO RESOURCES, FIDEICOMISO MERCANTIL INMOBILIARIO BEMANI, CONSORCIO BAHIA, THINICORP, CONSORCIO FATIMA)",SI,0,0,4,0,25,0,4,0,,,29,148,191,43,"380,070","33,975,258",1.12%,"403,575","32,439,310",1.24%,4.73%,-5.82%,-0.13%,"23,469","6,500",0,0,"79,558,601","89,438,162","38,386,035","37,558,242","954,426","677,811"
229,229,0,"UNIVERSIDAD INTERNACIONAL SEK (COLEGIO INTERNACIONAL SEK, COLEGIO INTERNACIONAL SEK LOS VALLES)",SI,1,0,0,1,6,2,3,0,,,7,99,114,15,"335,152","19,477,597",1.72%,"611,449","29,197,444",2.09%,-33.29%,-45.19%,-0.37%,"300,461",0,0,0,"85,489,885","84,341,334","69,889,046","67,381,848","1,142,644","1,329,749"
230,226,-4,"TECNOTEMPE (CAMARONERA CAMANMOR, NUSA, MENIER, ANGARSHRIMP, CAMARONERA LA LIBERTAD, CASUR, SATUKIN)",SI,0,0,10,0,16,0,7,0,,,26,115,26,-89,"791,032","51,868,820",1.53%,"3,787,077","65,536,102",5.78%,-20.85%,-79.11%,-4.25%,"1,927",0,0,0,"58,632,921","61,204,954","25,536,810","22,816,393","1,341,184","1,702,899"
231,187,-44,"PRODUCTOS AVON ECUADOR (AVON INTERNATIONAL OPERATION, BEAUTY PRODUCTS, AVON ALIADA)",NO,1,0,0,0,1,9,1,1,,,1,178,87,-91,"593,431","73,934,826",0.80%,"3,217,079","123,699,726",2.60%,-40.23%,-81.55%,-1.80%,"1,881,604","1,291,838",0,0,"30,544,716","50,367,116","3,152,559","9,076,704","12,333,223","16,351,223"
232,235,3,JOHNSON & JOHNSON (JOHNSON JOHNSON INTERNATIONAL),NO,0,0,0,0,1,5,1,1,,,1,8,39,31,"3,989,480","60,902,737",6.55%,"3,123,296","66,759,056",4.68%,-8.77%,27.73%,1.87%,"2,687,538","126,838",0,0,"56,391,443","49,692,432","11,353,717","9,973,337","8,298,652","8,261,195"
233,217,-16,"SEDEMI (SEDEMI - CONSTRUCCIONES, FENIX INGENIERIA)",SI,0,0,4,0,10,0,2,1,,,14,204,77,-127,"265,503","40,087,086",0.66%,"1,954,901","67,756,989",2.89%,-40.84%,-86.42%,-2.22%,"742,708","14,315",0,0,"66,306,837","68,699,333","31,865,528","32,226,111","3,425,055","3,040,561"
234,260,26,"TEVCOL (TEVSUR, LA ERMITA, TEVLOGISTIC, TRANSPORTADORA ECUATORIANA DE PRODUCTOS VALORADOS SETAPROVAL)",PARCIALMENTE,0,0,4,0,10,2,2,0,1,,14,67,62,-5,"1,452,256","59,004,407",2.46%,"1,607,259","46,330,994",3.47%,27.35%,-9.64%,-1.01%,"44,593",0,0,0,"35,312,274","29,597,215","16,045,560","11,082,500","6,768,097","4,140,625"
235,236,1,"HIVIMAR (MELIJUN, RULIMANES DEL ECUADOR RULIMASA, INAMCORP, MARKALEX)",SI,0,2,4,0,10,0,1,1,,,14,77,75,-2,"998,308","45,507,359",2.19%,"1,512,237","52,098,673",2.90%,-12.65%,-33.98%,-0.71%,"2,245,201","64,179",0,0,"57,373,768","55,924,162","30,410,661","28,141,022","2,364,776","1,893,500"
236,215,-21,"CONFITECA (REPÚBLICA DEL CACAO, CONFITECORP, SABIJERS, CONFITEXPORT, GUAJALOSA, DULCECANDY)",SI,5,0,3,1,11,10,1,1,,,15,245,109,-136,"158,246","39,626,521",0.40%,"1,519,402","69,728,142",2.18%,-43.17%,-89.58%,-1.78%,"741,799","74,077",0,0,"61,352,742","66,137,086","30,092,408","31,732,803","2,670,884","4,863,831"
237,254,17,INMUEBLES MOTORES & EQUIPOS INMEQ (GUTIERREZ NAVAS SU FERRETERIA),SI,0,0,1,0,2,0,2,0,,,3,40,30,-10,"1,884,093","61,434,825",3.07%,"2,717,579","50,183,527",5.42%,22.42%,-30.67%,-2.35%,"1,807,237",0,0,0,"35,437,888","31,296,439","24,006,687","23,112,706","2,414,931","1,765,688"
238,245,7,LABORATORIOS LIFE ( GENAMERICA),SI,0,0,0,1,2,1,2,1,,,3,74,234,160,"1,100,326","49,568,387",2.22%,"432,478","48,515,567",0.89%,2.17%,154.42%,1.33%,"1,335,311","471,176",0,0,"46,092,929","45,924,245","27,738,796","25,640,854","1,409,455","1,202,162"
239,241,2,"CORPORACIÓN QUEZADA (FEMAR, INIMPORELI, IMVERESA)",SI,0,0,8,0,10,0,2,0,,2,18,168,170,2,"261,175","29,967,128",0.87%,"441,659","30,865,581",1.43%,-2.91%,-40.87%,-0.56%,"1,315,726","25,130",0,0,"71,371,379","73,633,826","34,093,797","33,822,363","1,018,488","1,240,964"
240,240,0,"IMPORPARIS (TOGEN, NADEU, CIDICSA, TUNG YUAN)",SI,0,0,3,0,22,0,3,0,,,25,236,291,55,"202,425","44,392,991",0.46%,"83,143","41,449,616",0.20%,7.10%,143.47%,0.26%,"768,288","36,102",0,0,"60,296,226","70,798,058","14,393,158","14,399,669","616,142","856,616"
241,243,2,LIBERTY SEGUROS (LIBERTY INTERNACIONAL LATIN AMERICA HOLDINGS),SI,0,2,0,1,1,12,1,1,1,,2,134,275,141,"570,390","45,049,393",1.27%,"227,563","47,342,770",0.48%,-4.84%,150.65%,0.79%,"497,721",6,0,0,"54,481,482","55,284,459","21,053,366","19,325,650","3,608,107","3,809,623"
242,253,11,"INDUSTRIAL Y AGRICOLA CAÑAS (CULTIFINCAS, MEGAOBRA, MORROCAL, CHIEF INVESTMENTS)",SI,1,0,2,1,24,3,3,0,,,27,202,119,-83,"272,231","40,523,458",0.67%,"655,936","32,198,461",2.04%,25.86%,-58.50%,-1.37%,"457,734","25,169",0,0,"52,179,180","52,806,628","33,077,252","32,334,514","2,080,762","2,072,595"
243,251,8,"DURALUM (PROALUM, WINDOW WORLD, HOLDING ECUAKOZABU)",SI,0,0,3,0,7,1,3,0,,,10,180,239,59,"417,543","52,439,996",0.80%,"389,548","50,095,065",0.78%,4.68%,7.19%,0.02%,"377,409","293,411",0,0,"44,719,972","45,464,900","10,825,434","9,988,862","1,053,921","1,143,257"
244,250,6,"IBM DEL ECUADOR (IBM WORLD TRADE HOLDING, IBM TRADE INVESTMENT, IBM WORLD TRADE CORPORATION)",NO,0,0,0,0,1,5,1,1,,,1,195,181,-14,"332,867","47,004,227",0.71%,"700,150","51,718,993",1.35%,-9.12%,-52.46%,-0.65%,"1,962,241","40,172",0,0,"47,517,388","44,572,673","11,037,460","11,659,518","7,512,103","7,450,380"
245,237,-8,"GRUPO EL COMERCIO (TELECOMUNICACIONES GLOBALES DE ENTRETENIMIENTO TELEVISIVO TELGLOVISIÓN, PLATINUM FM-QUITO)",SI,0,0,0,1,5,0,1,1,,1,6,284,297,13,353,"14,064,772",0.00%,"22,700","29,976,318",0.08%,-53.08%,-98.44%,-0.07%,"372,554","18,400",0,0,"63,633,070","68,524,316","43,799,929","52,100,288","1,373,116","2,741,880"
246,265,19,"PROEXDI (GODYA, ESMACADI)",SI,0,0,2,0,7,0,2,0,,,9,39,105,66,"772,047","24,996,704",3.09%,"636,841","28,049,584",2.27%,-10.88%,21.23%,0.82%,0,0,0,0,"62,322,904","49,938,553","12,581,807","9,005,900","524,073","517,653"
247,281,34,HEINEKEN ECUADOR (HEINEKEN HOLDING NV),SI,0,0,0,2,1,4,1,1,,,3,299,253,-46,0,"21,346,204",0.00%,"135,631","19,671,812",0.69%,8.51%,-100.00%,-0.69%,"726,795","57,715",0,0,"52,776,590","36,871,187","21,350,543","15,405,846","7,965,928","11,127,622"
248,272,24,"AGROJOGA (AGROYETAS, ADMINISTRADORA GANAR, HIDROTAVALO)",SI,0,0,4,0,13,0,0,0,,,17,278,135,-143,"8,439","14,676,698",0.06%,"105,424","5,667,186",1.86%,158.98%,-92.00%,-1.80%,0,"22,563",0,0,"53,544,945","54,107,087","49,528,659","50,318,546","1,970,683","309,971"
249,176,-73,CHINA CAMC ENGINEERING( CHINA CAMC ENGINEERING),NO,0,0,0,0,1,1,1,1,,,1,290,31,-259,0,"23,187,143",0.00%,"3,808,009","71,362,214",5.34%,-67.51%,-100.00%,-5.34%,"13,351","1,009",0,0,"62,131,990","161,685,100","18,810,395","21,076,194","11,324,560","12,609,578"
250,277,27,"CEVALLOS CALISTO (LACEC, CEVALLOS CALISTO, NEMARKECU ANDINA)",SI,0,0,3,1,8,2,3,0,,,12,38,67,29,"977,661","31,625,595",3.09%,"1,034,672","31,472,354",3.29%,0.49%,-5.51%,-0.20%,"299,875","93,956","8,869","2,118","46,109,370","28,657,595","21,718,610","18,950,855","2,368,141","2,065,859"
251,258,7,"SPARTAN DEL ECUADOR (INMOBILIARIA INTELCA, CHEM -TECH, CONSORCIO CONSTRUGAS, MARBA, PARCESHI)",SI,0,0,3,0,22,0,3,0,,,25,219,229,10,"178,633","30,873,093",0.58%,"305,570","32,965,246",0.93%,-6.35%,-41.54%,-0.35%,"187,790","79,738",0,0,"49,350,465","48,192,756","15,516,363","16,951,582","1,008,726","969,019"
